uniprot_id,gene_name,protein_name,seq_length
A0A679LBC5,PPE5,Ppe family protein ppe5,1147
A0A1R3Y1U1,PPE34,Ppe family protein ppe34,1910
A0A1R3Y0W9,PPE71,PPE FAMILY PROTEIN,457
A0A1R3Y432,PE_PGRS52,Pe-pgrs family protein pe_pgrs52,749
A0A1R3Y571,BQ2027_MB3802C,Uncharacterized protein,78
A0A679LBI6,BQ2027_MB0228C,PROBABLE ALDEHYDE DEHYDROGENASE,385
A0A1R3Y3I4,tgs3,Diacylglycerol O-acyltransferase,469
A0A1R3XZN0,PPE17a,PPE FAMILY PROTEIN [FIRST PART],180
A0A1R3Y1X3,BQ2027_MB2713C,OB-fold nucleic acid binding protein,122
A0A1R3XZI3,BQ2027_MB1763C,"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase ",80
A0A1R3Y4V0,rsfb,Anti-anti-sigma factor rsfb (Anti-sigma factor antagonist) (Regulator of sigma f,81
A0A1R3Y0V3,BQ2027_FADD15,AMP-dependent synthetase/ligase domain-containing protein,170
A0A1R3XZR2,PPE35a,PPE FAMILY PROTEIN,625
A0A1R3XW82,BQ2027_MB0718,Uncharacterized protein,77
A0A1R3Y4C9,PE_PGRS57,Pe-pgrs family protein pe_pgrs57,992
A0A1R3Y0U5,treYa,Maltooligosyltrehalose synthase TreYa [FIRST PART],250
A0A679LCE6,PE_PGRS6b,PE-PGRS FAMILY PROTEIN [SECOND PART],75
A0A1R3XY65,BQ2027_MB1404,PROBABLE CONSERVED MEMBRANE PROTEIN,317
A0A679LCA3,PE_PGRS6a,PE-PGRS FAMILY PROTEIN [FIRST PART],581
A0A1R3XX79,BQ2027_MB1070C,POSSIBLE TRANSPOSASE,160
A0A1R3XZI4,BQ2027_MB1541,Glycosyl hydrolase family 32 N-terminal domain-containing protein,181
A0A1R3Y518,PPE66,Ppe family protein ppe66,118
A0A1R3XZK4,BQ2027_MB1904,NTP pyrophosphohydrolases including oxidative damage repair enzymes,145
A0A1R3XWP1,rpfA,POSSIBLE RESUSCITATION-PROMOTING FACTOR RPFA,327
A0A1R3Y5F8,Mb3875cC,Mb3875cC protein,102
A0A1R3Y1X7,higb,Possible toxin higb,170
A0A1R3XZ47,BQ2027_MB1746,3-keto-5-aminohexanoate cleavage enzyme,207
A0A1R3Y4D0,PE_PGRS53,Pe-pgrs family protein pe_pgrs53,1360
A0A1R3XZK7,gnd1,"6-phosphogluconate dehydrogenase, decarboxylating",685
A0A1R3Y3Y3,PPE56b,PPE FAMILY PROTEIN [SECOND PART],2044
A0A1R3Y1Y6,yrbE3A,CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE3A,134
A0A1R3Y1U6,BQ2027_MB2683C,Uncharacterized protein,57
A0A1R3XW18,recBb,PROBABLE EXONUCLEASE V (BETA CHAIN) RECBB [SECOND PART] (EXODEOXYRIBONUCLEASE V ,195
A0A679LB48,mce1r,Probable transcriptional regulatory protein Mce1R (Probably GntR-family),230
A0A1R3Y137,BQ2027_MB2448C,PROBABLE TRANSPOSASE [FIRST PART],97
A0A1R3Y0I4,PPE35b,PPE FAMILY PROTEIN,334
A0A1R3Y4Z3,BQ2027_MB3509C,diacylglycerol O-acyltransferase,274
A0A1R3Y1D3,PE_PGRS42a,PE-PGRS FAMILY PROTEIN [FIRST PART],206
A0A1R3Y217,BQ2027_MB2762C,CONSERVED HYPOTHETICAL ARGININE RICH PROTEIN [SECOND PART],82
A0A679LAE4,fusA2a,PROBABLE ELONGATION FACTOR G FUSA2A [FIRST PART] (EF-G),117
A0A1R3Y6Y5,eccc2,POSSIBLE CONSERVED MEMBRANE PROTEIN [SECOND PART],561
A0A1R3Y347,BQ2027_MB3119C,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN,306
A0A1R3Y4L8,PE_PGRS50a,PE-PGRS FAMILY PROTEIN [FIRST PART],539
A0A1R3Y4K4,PE_PGRS59,Pe-pgrs family protein pe_pgrs59,492
A0A1R3Y1C7,esxO,Esat-6 like protein esxo (Esat-6 like protein 6),60
A0A1R3Y2S4,Mb2999cA,Mb2999cA protein,68
A0A1R3Y628,cyp142a,PROBABLE CYTOCHROME P450 MONOOXYGENASE 142 CYP142A [FIRST PART],205
A0A1R3XXN8,PE_PGRS21,Pe-pgrs family protein pe_pgrs21,774
A0A1R3Y1D6,PE_PGRS43b,PE-PGRS FAMILY PROTEIN [SECOND PART],1150
A0A1R3Y3X3,PPE54,Ppe family protein ppe54,1338
A0A1R3Y0L3,BQ2027_MB2251,Uncharacterized protein,106
A0A1R3Y3B5,BQ2027_MB3187C,POSSIBLE INTEGRAL MEMBRANE PROTEIN,196
A0A1R3Y171,BQ2027_MB2447C,PROBABLE TRANSPOSASE [SECOND PART],230
A0A1R3XY57,BQ2027_MB1407,GLYCOLIPID SULFOTRANSFERASE [FIRST PART],265
A0A1R3Y3I6,BQ2027_MB3152C,Integrase catalytic domain-containing protein,193
A0A1R3XZ70,cut1,PROBABLE CUTINASE CUT1,218
A0A1R3Y0Q2,BQ2027_MB1540,Uncharacterized protein,116
A0A1R3Y1K4,BQ2027_MB2595,Transglutaminase-like domain-containing protein,533
A0A1R3XXK0,PPE17b,PPE FAMILY PROTEIN [SECOND PART],165
A0A1R3Y4A6,BQ2027_MB3496,13E12 repeat family protein,317
A0A1R3Y1B4,PE_PGRS43a,PE-PGRS FAMILY PROTEIN [FIRST PART],509
A0A1R3Y307,fadE22a,PROBABLE ACYL-COA DEHYDROGENASE FADE22a [FIRST PART],114
A0A1R3Y5N3,PE_PGRS50b,Pe-pgrs family protein pe_pgrs49,1337
A0A1R3Y4J5,BQ2027_MB3357,Uncharacterized protein,128
A0A1R3XYQ2,BQ2027_MB1601,Probable phiRV1 phage protein,117
A0A1R3XX95,PE_PGRS20,Pe-pgrs family protein pe_pgrs20,763
A0A1R3Y493,BQ2027_MB3510C,diacylglycerol O-acyltransferase,217
A0A1R3Y4H8,PE_PGRS55,Pe-pgrs family protein pe_pgrs56,1938
A0A1R3XYN8,treYb,Maltooligosyltrehalose synthase TreYb [SECOND PART],244
A0A1R3Y0R9,BQ2027_MB2307C,Uncharacterized protein,87
A0A1R3Y486,BQ2027_MB2836,PUTATIVE TRANSPOSASE [SECOND PART],237
A0A1R3XXL9,PE_PGRS19,Pe-pgrs family protein pe_pgrs19,671
A0A1R3Y3C7,BQ2027_MB3151C,Transposase,116
A0A1R3Y257,alda,SECRETED L-ALANINE DEHYDROGENASE ALDa [FIRST PART] (40 kDa ANTIGEN) (TB43),132
A0A1R3XZL3,BQ2027_MB1908,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN [FIRST PART],511
A0A1R3Y2H6,PE_PGRS38,Pe-pgrs family protein pe_pgrs38,490
A0A1R3Y2B1,BQ2027_MB2835,PUTATIVE TRANSPOSASE [FIRST PART],226
A0A679LBG7,BQ2027_MB0353,MobA-like NTP transferase domain-containing protein,90
A0A1R3Y058,cobLa,Probable precorrin-6y methyltransferase CobLa [FIRST PART],62
A0A1R3XW92,PE_PGRS9,Pe-pgrs family protein pe_pgrs9,797
A0A1R3Y534,PPE50,Ppe family protein ppe50,381
A0A1R3Y315,PPE46,Ppe family protein ppe46,437
A0A1R3Y2M2,BQ2027_MB2970CA,"Mycobacterium bovis AF2122/97 genome assembly, chromosome: Mycobacterium_bovis_A",73
A0A1R3Y0L2,BQ2027_MB2242,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,250
A0A1R3Y1K2,BQ2027_MB2596,DUF2126 domain-containing protein,597
A0A1R3Y567,BQ2027_MB3801C,TIGR03086 family protein,114
A0A1R3Y2X6,lppOa,Probable conserved lipoprotein lppOa,51
A0A1R3XWG0,BQ2027_MB0819C,PROBABLE OXIDOREDUCTASE [FIRST PART],299
A0A0G2QBZ2,BQ2027_MB1346C,POSSIBLE TRANSPOSASE [FIRST PART],205
A0A1R3Y4Z4,cut5,Probable cutinase [second part] cut5b,233
A0A1R3XWF3,BQ2027_MB0809C,Predicted Zn-dependent hydrolases of the beta-lactamase fold,129
A0A1R3Y128,BQ2027_MB2416,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN [FIRST PART],146
A0A1R3Y042,cobK,Precorrin-6x reductase cobk,231
A0A1R3Y5M0,BQ2027_MB3929C,Uncharacterized protein,247
A0A679LAP4,PE_PGRS5,Pe-pgrs family protein pe_pgrs5,606
A0A1R3XXT4,BQ2027_MB1287C,Probable transcriptional regulatory protein,99
A0A1R3XZ49,fadB3b,PROBABLE 3-HYDROXYBUTYRYL-COA DEHYDROGENASE FADB3b [SECOND PART] (BETA-HYDROXYBU,97
A0A1R3Y2J2,PE_PGRS45,Pe-pgrs family protein pe_pgrs45,464
A0A1R3Y3Y7,PPE55a,PPE FAMILY PROTEIN [FIRST PART],2096
A0A1R3XW44,BQ2027_MB0717,Uncharacterized protein,109
A0A1R3Y3R8,lpdA,Nad(P)h quinone reductase lpda,471
A0A1R3Y1A8,PE_PGRS42b,PE-PGRS FAMILY PROTEIN [SECOND PART],315
A0A679LBL6,PPE8,Ppe family protein ppe7,3507
A0A1R3XY54,BQ2027_MB1405,PROBABLE CONSERVED MEMBRANE PROTEIN,171
P96354,Rv1047,Mutator family transposase,415
L0T897,Rv1042c,Possible transposase,135
P96234,Rv3348,Possible transposase,163
L0T3X8,PE_PGRS6,PE_PGRS6,594
Q50655,Rv0094c,HNH nuclease domain-containing protein,317
A0A0H3L7K6,ERDMAN_1162,IS like-2 transposase,145
A0A654U4F1,ERS007657_03372,Uncharacterized protein,60
A0A0T7LSS2,ERS007688_01562,Uncharacterized protein,73
A0A0U0SYX7,ERS007657_02278,Uncharacterized protein,57
A0A0T9YLZ1,ERS007661_02811,Uncharacterized protein,107
A0A655JP08,ERS007679_04644,Secreted protein,94
A0A0T9B7V9,ERS007679_00673,Uncharacterized protein,120
A0A655G646,ERS027646_04338,PPE family protein,160
A0A0T9BXL5,ERS007657_02831,Uncharacterized protein,61
A0A654TPL0,mpt64,Immunogenic protein MPT64,67
A0A655AKE0,mutY,Adenine DNA glycosylase,221
A0A654TKY6,ERS007681_04701,Uncharacterized protein,57
A0A655JM45,ERS007679_03781,Serine protease,129
A0A654TLU2,ERS007681_04795,Magnesium chelatase,66
A0A655JMM7,ERS007720_04112,Uncharacterized protein,59
A0A655FPK5,ERS007679_04466,Uncharacterized protein,62
A0A0U0SW88,ERS007703_00380,Uncharacterized protein,63
A0A655ACK0,ERS007720_04036,Uncharacterized protein,96
A0A654U541,ERS007657_03467,Uncharacterized protein,76
A0A654TIC0,clcA,Transmembrane protein,271
A0A0U0TCL2,ERS007657_00313,Uncharacterized protein,69
A0A655JP93,cydC,ABC transporter ATP-binding protein,182
A0A0T7LG35,ERS007679_03569,Uncharacterized protein,85
A0A654TU31,ERS007661_00836,Uncharacterized protein,50
A0A655ESZ8,ERS007657_03196,Uncharacterized protein,112
A0A654ZIR9,ERS007657_00593,Oxidoreductase,182
A0A655AFM8,ERS007741_03294,Uncharacterized protein,135
A0A654T8E0,ERS007681_01813,Uncharacterized protein,183
A0A654TQD2,ERS007679_03433,Uncharacterized protein,105
A0A0U0SBF5,ERS007657_00083,GLTT repeat protein,80
A0A0U0SR07,ERS007679_04470,Oxidoreductase,79
A0A655JMV6,ERS007679_03715,Uncharacterized protein,107
A0A655AA24,ERS007661_04160,Uncharacterized protein,145
A0A655ENI1,ERS027646_04234,Uncharacterized protein,99
A0A0T9DXB4,ERS007657_02686,Uncharacterized protein,56
A0A0U0R9F6,ynaI,Transmembrane protein,353
A0A654T3K3,ERS007657_02454,Uncharacterized protein,115
A0A655IP23,ERS007657_03607,Uncharacterized protein,65
A0A654ZG87,ERS007661_00165,NAD-specific glutamate dehydrogenase,160
A0A0U0S695,ERS007657_01198,Uncharacterized protein,66
A0A655FFW5,ERS007661_02921,Putative regulatory protein,66
A0A654TUC7,metK,S-adenosylmethionine synthetase,113
A0A045IQL4,ERS007679_00300,Hydrolase,225
A0A0U0QSE8,ERS007661_00196,Putative secreted protein,61
A0A655JPA0,ERS007739_00998,ArsR family transcriptional regulator,61
A0A654TUB6,ERS007679_03806,Uncharacterized protein,121
A0A654TVE9,ERS007681_04817,Conserved membrane protein of uncharacterized function,67
A0A655JL47,treY,Maltooligosyltrehalose synthase,550
A0A655J262,ERS007679_04390,Uncharacterized protein,90
A0A654ZMZ4,ERS007739_02051,Uncharacterized protein,61
A0A0U0TCB5,ERS007741_04336,PPE family protein,208
A0A654ZGB5,ERS007681_01699,Uncharacterized protein,279
A0A0T9AX56,ERS007703_03793,Uncharacterized protein,99
A0A0U0S0A4,ERS007657_02649,Uncharacterized protein,59
A0A655D1T0,ERS007657_01490,Uncharacterized protein,75
A0A655E4N5,ERS007661_01503,Uncharacterized protein,60
A0A655JJ99,fadD36,Fatty-acid-CoA ligase,170
A0A0U0RYL7,ERS007679_02453,Uncharacterized protein,63
A0A655JSS0,ERS007720_04889,Secreted protein,61
A0A0T9VQZ8,plcB_3,Phospholipase C 4,179
A0A0U0RIB4,ERS007657_04074,Methyltransferase,137
A0A0T9D7Y8,ERS007681_02055,Uncharacterized protein,72
A0A0T7PFW5,pbpA_2,Penicillin-binding protein PbpA,266
A0A0T7PIZ0,ERS007657_02934,Secreted protein,141
A0A655CL97,ERS007657_00101,Secreted protein,92
A0A0U0SCU5,ERS007657_00190,Uncharacterized protein,141
A0A0U0UFF4,ERS007657_03857,Uncharacterized protein,109
A0A655IU59,ERS007679_02322,Uncharacterized protein,116
A0A0T9C1Y3,ephE,Epoxide hydrolase,184
A0A655JEG9,ERS007679_04306,Uncharacterized protein,139
A0A655APW8,ERS007657_01883,Amidase,58
A0A655FWP8,ERS007661_03812,Exported repetitive protein PirG,73
A0A655FJN4,ERS007739_01026,PPE family protein,74
A0A654U4S3,secA2,Preprotein translocase subunit SecA,223
A0A654ZSI9,ERS007657_02737,Uncharacterized protein,103
A0A655JFH2,ERS007661_00077,Uncharacterized protein,182
A0A0T9YUU4,adhE2,Zinc-dependent alcohol dehydrogenase,177
A0A654T6S2,ERS007679_01241,Uncharacterized protein,152
A0A0T5XXF0,ERS007657_00418,Uncharacterized protein,74
A0A655JJH8,ERS007741_03634,Uncharacterized protein,218
A0A654ZF96,fadD36,Fatty-acid-CoA ligase,113
A0A655FYT9,ERS007661_04316,Secreted protein,90
A0A0T9E5W0,ERS007688_01199,Uncharacterized protein,238
A0A655E232,ERS007681_03326,Uncharacterized protein,66
A0A655AL55,ERS007661_01796,Uncharacterized protein,132
A0A655J013,ERS007679_03587,Toxin,71
A0A654TYV9,ERS007657_01229,Uncharacterized protein,104
A0A655ETY9,ERS027646_02658,Uncharacterized protein,56
A0A0U0TT27,ERS007657_04187,Uncharacterized protein,80
A0A655I5B8,ERS007679_02074,Uncharacterized protein,50
A0A655JN64,ERS007661_03074,Uncharacterized protein,342
A0A655FZM7,ERS007661_04302,Methyltransferase,114
A0A0T9ESR0,ERS007657_01278,Uncharacterized protein,67
A0A0U0S3J3,ERS007679_02373,Uncharacterized protein,330
A0A654ZF77,ERS007657_00713,Uncharacterized protein,105
A0A655J739,lpqO,Lipoprotein lpqo,129
A0A655AQD8,ERS027659_03207,Uncharacterized protein,84
A0A0T9DJN0,ERS007679_03965,Uncharacterized protein,81
A0A655EE87,grpE,Protein GrpE,171
A0A0U0SRK7,ERS007657_01104,Uncharacterized protein,111
A0A654ZNS5,ERS007679_04480,Uncharacterized protein,214
A0A0T9E7R3,ERS007703_01653,PPE family protein,127
A0A0T7PFH1,ERS007657_01768,Uncharacterized protein,80
A0A655J167,eccE3,ESX-3 secretion system protein,247
A0A654TC13,ERS007657_01705,Uncharacterized protein,105
A0A655JKQ6,ERS007720_03853,Uncharacterized protein,105
A0A655CAY3,ERS027646_03034,Uncharacterized protein,78
A0A655JHI2,uvrA,UvrABC system protein A,751
A0A0T9EAF1,ERS007681_01212,Uncharacterized protein,57
A0A0T9B9Z4,ERS007679_03301,Uncharacterized protein,148
A0A0U0RH52,ERS007657_02546,Uncharacterized protein,77
A0A655FSQ2,ERS027646_01623,Uncharacterized protein,64
A0A654TQP4,ERS007681_01673,Uncharacterized protein,58
A0A655JM67,ERS007661_03709,Uncharacterized protein,235
A0A655JQQ2,ERS007661_04384,Uncharacterized protein,85
A0A0T9CA61,ERS007657_03280,Uncharacterized protein,98
A0A655A6E0,ERS027646_03573,Uncharacterized protein,202
A0A655A079,ERS007661_00946,Uncharacterized protein,248
A0A654ZMX8,ERS007739_02052,Uncharacterized protein,66
A0A654THK8,ERS007657_00462,Uncharacterized protein,270
A0A654U0Y5,ERS007657_02026,Uncharacterized protein,157
A0A654ZLX6,ERS007661_04079,Uncharacterized protein,51
A0A0U0SBZ7,ERS007657_01748,Uncharacterized protein,82
A0A654TU54,ERS007657_02186,Secreted protein,80
A0A655IP25,ERS007661_03923,Uncharacterized protein,61
A0A0T9EEY4,ERS007657_04161,Uncharacterized protein,149
A0A0T5XWY6,ERS007657_01483,Uncharacterized protein,95
A0A655FMF7,pyrC,Dihydroorotase PyrC,213
A0A655AF10,ERS007661_03502,Uncharacterized protein,216
A0A0U0T6G0,cyp144_1,Cytochrome p450,64
A0A655AIX0,ERS007657_02731,PPE family protein,78
A0A655AES9,ERS007681_00750,Uncharacterized protein,61
A0A0T9F4I3,ERS007657_03840,Uncharacterized protein,86
A0A0T9EKR5,ERS007661_01740,Uncharacterized protein,149
A0A0E8U495,gloA_2,4-hydroxyphenylpyruvate dioxygenase,151
A0A654TS20,ERS007679_03923,Transposase,151
A0A654TV62,gap,Glyceraldehyde 3-phosphate dehydrogenase Gap,100
A0A654ZP33,ERS007688_01579,Uncharacterized protein,90
A0A655ERR7,ERS007661_02080,Uncharacterized protein,69
A0A655A3K0,ERS007657_02941,Uncharacterized protein,106
A0A655JJM7,pbpB,Penicillin-binding membrane protein pbpB,514
A0A0Q3YFQ1,ruvC,Crossover junction endodeoxyribonuclease RuvC,308
A0A0T9B1G5,ERS007657_02881,Uncharacterized protein,189
A0A654TTB7,ERS007657_03711,Uncharacterized protein,101
A0A0E8W8P6,A4S10_02013,Uncharacterized protein,70
A0A0T9YZI2,ERS007657_04457,Uncharacterized protein,69
A0A654TSZ3,ERS007661_00326,Uncharacterized protein,120
A0A654TX38,ERS007657_00765,Uncharacterized protein,153
A0A654ZIU5,ERS007657_01273,Uncharacterized protein,90
A0A654U426,ERS007657_03150,Integral membrane protein,69
A0A0T9B9B1,ERS007703_03697,Uncharacterized protein,70
A0A654U752,ERS007657_04240,Uncharacterized protein,88
A0A654TFX3,rplD_1,Large ribosomal subunit protein uL4,129
A0A0T9FEA7,ERS007657_04578,Uncharacterized protein,59
A0A0U0SB18,recX,Recombination regulator RecX,89
A0A5P3LRM3,A4S10_00008,Possible conserved membrane protein,101
A0A655AN74,fadA2,Acetyl-CoA acyltransferase FadA2,287
A0A655J6M9,lprM,Putative MCE-family lipoprotein LPRM,290
A0A655JQ26,ERS007657_02956,Hypothetical alanine valine rich protein,319
A0A0E8NG93,A4S10_02352,5'-nucleotidase,210
A0A655EXE1,ERS007688_04389,Uncharacterized protein,56
A0A0T9F2G6,ERS007718_02144,DegV family EDD domain-containing protein,123
A0A0U0QNS8,ERS007661_00698,PPE family protein,119
A0A0T9D7Q7,ERS007657_03290,Uncharacterized protein,52
A0A655CUN9,pepQ,Cytoplasmic peptidase PEPQ,215
A0A654ZJF0,ERS007657_01826,Uncharacterized protein,86
A0A0T7PES2,ERS007657_01548,Uncharacterized protein,145
A0A0T9FUR5,ERS007657_03612,Uncharacterized protein,177
A0A655FY14,ERS007657_03965,Uncharacterized protein,93
A0A0T9Y0R8,ERS007703_00528,Membrane protein,158
A0A654U1Y7,ERS007657_02130,Uncharacterized protein,119
A0A654T695,ERS007679_04144,Membrane protein,135
A0A655ASV2,murA_2,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,66
A0A654T714,ERS007681_01318,Uncharacterized protein,94
A0A654TU76,eno,Enolase,150
A0A0E8XAH6,hpaC,4-hydroxyphenylacetate 3-monooxygenase reductase component,192
A0A655AD58,dmsA,Biotin sulfoxide reductase bisC,356
A0A0T7LPE1,CAB90_01258,Uncharacterized protein,54
A0A655JNF8,ERS007661_01575,Uncharacterized protein,54
A0A0T9EJA3,ERS007741_04374,Uncharacterized protein,226
A0A655F9M9,ERS007661_01463,Restriction endonuclease domain-containing protein,96
A0A0T7PW83,ERS007703_03791,Hydrolase (Metallo-beta-lactamase superfamily),51
A0A654T5K3,pks8_2,Polyketide synthase PKS8,142
A0A0T7LJB2,ERS007681_03282,Conserved protein of uncharacterized function with PIN domain,63
A0A654TKX4,pta,Phosphate acetyltransferase,104
A0A0T7PEB2,mshD_1,mycothiol synthase,216
A0A655AY61,hycP,Hydrogenase,125
A0A655ANG9,ERS007657_02994,Uncharacterized protein,84
A0A0U0TGW8,gno,Oxidoreductase,90
A0A655HJW2,lipE,Lipase LIPE,329
A0A654T8N5,ERS007681_01836,Death on curing protein,162
A0A654TUK4,serB1,Phosphoserine phosphatase,175
A0A654TZ79,pykA,Pyruvate kinase,241
A0A655JAU8,ERS007657_00668,Secreted protein,113
A0A654U895,ERS007657_04547,Toxin,98
A0A655HX32,cocE,Hydrolase,286
A0A0U0S4T1,ERS007679_03947,Uncharacterized protein,58
A0A655JDP4,ERS007679_04280,Uncharacterized protein,51
A0A655GF45,ERS007657_03876,Cytidine deaminase,63
